FIELD,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
STRIPE82_0103,Calibration_XPSP_GAIA3,20.89137,20.27277,20.32137,21.21447,21.36447,23.65927,21.60127,23.67077,21.14507,23.41457,21.68827,22.86017
STRIPE82_0103,Calibration_XPSP_GALEX_0,20.8929,20.2659,20.3145,21.2076,21.3576,23.6524,21.5944,23.6639,21.1382,23.4077,21.6814,22.8533
STRIPE82_0103,Calibration_XPSP,20.89907,20.27267,20.32127,21.21437,21.36437,23.65917,21.60117,23.67067,21.14497,23.41447,21.68817,22.86007
STRIPE82_0103,Calibration_Utest1_iDR5_3_Main,20.9302,20.276,20.3246,21.2177,21.3677,23.6625,21.6045,23.674,21.1483,23.4178,21.6915,22.8634
STRIPE82_0103,Calibration_iDR5_3_Main,20.8946,20.276,20.3246,21.2177,21.3677,23.6625,21.6045,23.674,21.1483,23.4178,21.6915,22.8634
STRIPE82_0103,Calibration_Utest2_iDR5_3_Main,20.9249,20.276,20.3246,21.2177,21.3677,23.6625,21.6045,23.674,21.1483,23.4178,21.6915,22.8634
STRIPE82_0104,Calibration_XPSP_0,20.86257,20.24737,20.29057,21.20177,21.35207,23.62847,21.58757,23.53887,20.90427,23.26017,21.40647,22.60217
STRIPE82_0104,Calibration_XPSP_GAIA3,20.85243,20.24763,20.29083,21.20203,21.35233,23.62873,21.58783,23.53913,20.90453,23.26043,21.40673,22.60243
STRIPE82_0104,Calibration_XPSP_GALEX_0,20.8683,20.2476,20.2908,21.202,21.3523,23.6287,21.5878,23.5391,20.9045,23.2604,21.4067,22.6024
STRIPE82_0104,Calibration_XPSP,20.86257,20.24737,20.29057,21.20177,21.35207,23.62847,21.58757,23.53887,20.90427,23.26017,21.40647,22.60217
STRIPE82_0104,Calibration_Utest1_iDR5_3_Main,20.8895,20.2511,20.2943,21.2055,21.3558,23.6322,21.5913,23.5426,20.908,23.2639,21.4102,22.6059
STRIPE82_0104,Calibration_iDR5_3_Main,20.8559,20.2511,20.2943,21.2055,21.3558,23.6322,21.5913,23.5426,20.908,23.2639,21.4102,22.6059
STRIPE82_0104,Calibration_Utest2_iDR5_3_Main,20.8875,20.2511,20.2943,21.2055,21.3558,23.6322,21.5913,23.5426,20.908,23.2639,21.4102,22.6059
STRIPE82_0106,Calibration_XPSP_0,20.89223,20.25793,20.31173,21.20443,21.35353,23.64803,21.58983,23.65403,21.12333,23.40463,21.66773,22.86433
STRIPE82_0106,Calibration_XPSP_GAIA3,20.8898,20.2582,20.312,21.2047,21.3538,23.6483,21.5901,23.6543,21.1236,23.4049,21.668,22.8646
STRIPE82_0106,Calibration_XPSP_GALEX_0,20.8873,20.2579,20.3117,21.2044,21.3535,23.648,21.5898,23.654,21.1233,23.4046,21.6677,22.8643
STRIPE82_0106,Calibration_XPSP,20.89223,20.25793,20.31173,21.20443,21.35353,23.64803,21.58983,23.65403,21.12333,23.40463,21.66773,22.86433
STRIPE82_0106,Calibration_Utest1_iDR5_3_Main,20.9279,20.2613,20.3151,21.2078,21.3569,23.6514,21.5932,23.6574,21.1267,23.408,21.6711,22.8677
STRIPE82_0106,Calibration_iDR5_3_Main,20.8929,20.2613,20.3151,21.2078,21.3569,23.6514,21.5932,23.6574,21.1267,23.408,21.6711,22.8677
STRIPE82_0106,Calibration_Utest2_iDR5_3_Main,20.9248,20.2613,20.3151,21.2078,21.3569,23.6514,21.5932,23.6574,21.1267,23.408,21.6711,22.8677
STRIPE82_0111,Calibration_XPSP_0,20.89673,20.25953,20.30993,21.21863,21.36703,23.65773,21.59773,23.66103,21.12823,23.40533,21.67163,22.86163
STRIPE82_0111,Calibration_XPSP_GAIA3,20.88343,20.25973,20.31013,21.21883,21.36723,23.65793,21.59793,23.66123,21.12843,23.40553,21.67183,22.86183
STRIPE82_0111,Calibration_XPSP_GALEX_0,20.91647,20.25767,20.30807,21.21677,21.36517,23.65587,21.59587,23.65917,21.12637,23.40347,21.66977,22.85977
STRIPE82_0111,Calibration_XPSP,20.89673,20.25953,20.30993,21.21863,21.36703,23.65773,21.59773,23.66103,21.12823,23.40533,21.67163,22.86163
STRIPE82_0111,Calibration_Utest1_iDR5_3_Main,20.9267,20.2633,20.3137,21.2224,21.3708,23.6615,21.6015,23.6648,21.132,23.4091,21.6754,22.8654
STRIPE82_0111,Calibration_iDR5_3_Main,20.887,20.2633,20.3137,21.2224,21.3708,23.6615,21.6015,23.6648,21.132,23.4091,21.6754,22.8654
STRIPE82_0111,Calibration_Utest2_iDR5_3_Main,20.9209,20.2633,20.3137,21.2224,21.3708,23.6615,21.6015,23.6648,21.132,23.4091,21.6754,22.8654
STRIPE82_0112,Calibration_XPSP_0,20.9189,20.2799,20.2677,21.2273,21.3762,23.6771,21.614,23.6794,21.1505,23.4188,21.6906,22.8575
STRIPE82_0112,Calibration_XPSP_GAIA3,20.90537,20.28057,20.26837,21.22797,21.37687,23.67777,21.61467,23.68007,21.15117,23.41947,21.69127,22.85817
STRIPE82_0112,Calibration_XPSP_GALEX_0,20.92617,20.28147,20.26927,21.22887,21.37777,23.67867,21.61557,23.68097,21.15207,23.42037,21.69217,22.85907
STRIPE82_0112,Calibration_XPSP,20.9189,20.2799,20.2677,21.2273,21.3762,23.6771,21.614,23.6794,21.1505,23.4188,21.6906,22.8575
STRIPE82_0112,Calibration_Utest1_iDR5_3_Main,20.9456,20.2838,20.2716,21.2312,21.3801,23.681,21.6179,23.6833,21.1544,23.4227,21.6945,22.8614
STRIPE82_0112,Calibration_iDR5_3_Main,20.9086,20.2838,20.2716,21.2312,21.3801,23.681,21.6179,23.6833,21.1544,23.4227,21.6945,22.8614
STRIPE82_0112,Calibration_Utest2_iDR5_3_Main,20.9435,20.2838,20.2716,21.2312,21.3801,23.681,21.6179,23.6833,21.1544,23.4227,21.6945,22.8614
STRIPE82_0119,Calibration_XPSP_0,20.86633,20.25343,20.31593,21.20573,21.36653,23.65803,21.60023,23.65633,21.11993,23.31973,21.67063,22.80923
STRIPE82_0119,Calibration_XPSP_GAIA3,20.86777,20.25287,20.31537,21.20517,21.36597,23.65747,21.59967,23.65577,21.11937,23.31917,21.67007,22.80867
