FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
SPLUS-b096,Calibration_iDR5_3_PSF,0.06,0.0162,0.0124
SPLUS-b098,Calibration_iDR5_3_PSF,-0.0399,-0.2104,-0.2573
SPLUS-b100,Calibration_iDR5_3_PSF,0.0344,0.0092,0.0067
SPLUS-b101,Calibration_iDR5_3_PSF,0.0206,0.0036,0.0053
SPLUS-b102,Calibration_iDR5_3_PSF,0.0152,0.001,0.0018
SPLUS-b103,Calibration_iDR5_3_PSF,0.0151,0.0059,0.0045
SPLUS-b104,Calibration_iDR5_3_PSF,0.0103,0.0028,0.0033
SPLUS-b105,Calibration_iDR5_3_PSF,0.0122,0.0036,0.0035
SPLUS-b106,Calibration_iDR5_3_PSF,0.0653,0.0268,0.0075
SPLUS-b107,Calibration_iDR5_3_PSF,0.06,0.0295,0.0048
SPLUS-b108,Calibration_iDR5_3_PSF,0.0414,0.0292,-0.0039
SPLUS-b109,Calibration_iDR5_3_PSF,0.0437,0.0325,-0.0008
SPLUS-b110,Calibration_iDR5_3_PSF,0.0327,0.0171,-0.0008
SPLUS-b111,Calibration_iDR5_3_PSF,0.0272,0.0115,-0.0039
SPLUS-b112,Calibration_iDR5_3_PSF,0.0355,0.021,-0.0073
SPLUS-b115,Calibration_iDR5_3_PSF,0.0621,0.026,0.023
SPLUS-b116,Calibration_iDR5_3_PSF,0.0456,0.0128,0.0109
SPLUS-b117,Calibration_iDR5_3_PSF,0.0326,0.0072,0.0057
SPLUS-b118,Calibration_iDR5_3_PSF,0.0262,0.0076,0.0083
SPLUS-b119,Calibration_iDR5_3_PSF,0.014,0.002,0.0041
SPLUS-b120,Calibration_iDR5_3_PSF,0.0078,0.0006,0.0024
SPLUS-b121,Calibration_iDR5_3_PSF,0.0125,0.0043,0.0044
SPLUS-b122,Calibration_iDR5_3_PSF,0.0081,0.0026,0.0036
SPLUS-b123,Calibration_iDR5_3_PSF,0.0672,0.0324,0.0095
SPLUS-b124,Calibration_iDR5_3_PSF,0.029,0.009,-0.0047
SPLUS-b125,Calibration_iDR5_3_PSF,0.0436,0.027,-0.0031
SPLUS-b126,Calibration_iDR5_3_PSF,0.0468,0.0297,-0.0022
SPLUS-b127,Calibration_iDR5_3_PSF,0.0466,0.0329,0.0031
SPLUS-b128,Calibration_iDR5_3_PSF,0.0354,0.0117,0.0002
SPLUS-b129,Calibration_iDR5_3_PSF,0.0737,0.0385,0.0133
SPLUS-b133,Calibration_iDR5_3_PSF,0.0192,-0.0043,0.004
SPLUS-b135,Calibration_iDR5_3_PSF,0.0146,0.0022,0.0044
SPLUS-b136,Calibration_iDR5_3_PSF,0.0138,0.0038,0.0044
SPLUS-b137,Calibration_iDR5_3_PSF,0.009,0.0026,0.0024
SPLUS-b138,Calibration_iDR5_3_PSF,0.0095,0.0036,0.0053
SPLUS-b140,Calibration_iDR5_3_PSF,0.0822,0.0725,0.0018
SPLUS-b141,Calibration_iDR5_3_PSF,0.0756,0.0668,0.0022
SPLUS-b142,Calibration_iDR5_3_PSF,0.0573,0.0465,0.0027
SPLUS-b143,Calibration_iDR5_3_PSF,0.0517,0.0322,0.003
SPLUS-b144,Calibration_iDR5_3_PSF,0.0696,0.0263,0.0066
SPLUS-b145,Calibration_iDR5_3_PSF,0.072,0.0172,0.016
SPLUS-b146,Calibration_iDR5_3_PSF,0.0549,0.0083,0.0074
SPLUS-b147,Calibration_iDR5_3_PSF,0.0397,0.0026,0.0067
SPLUS-b151,Calibration_iDR5_3_PSF,0.012,0.0029,0.0037
SPLUS-b152,Calibration_iDR5_3_PSF,0.0087,0.0022,0.0011
SPLUS-b153,Calibration_iDR5_3_PSF,0.0081,0.0028,0.0037
SPLUS-b154,Calibration_iDR5_3_PSF,0.0781,0.0725,0.0007
SPLUS-b155,Calibration_iDR5_3_PSF,0.0516,0.0319,0.0019
SPLUS-b160,Calibration_iDR5_3_PSF,0.039,0.0022,0.0043
SPLUS-b164,Calibration_iDR5_3_PSF,0.0107,0.0011,0.0043
SPLUS-b165,Calibration_iDR5_3_PSF,0.0105,0.004,0.0039
SPLUS-b166,Calibration_iDR5_3_PSF,0.0085,0.0024,0.0026
SPLUS-b167,Calibration_iDR5_3_PSF,0.0085,0.0029,0.0036
SPLUS-b168,Calibration_iDR5_3_PSF,0.0337,0.0142,-0.004
SPLUS-b171,Calibration_iDR5_3_PSF,0.0707,0.0341,0.0014
SPLUS-b176,Calibration_iDR5_3_PSF,0.0129,0.0028,0.0055
