iDR5_Field_Name,Field_1,NAME,FIELD_2,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP,ZP_GAIA3
HYDRA-0086,HYDRA-0086,HYDRA_0086,HYDRA-0086,Calibration_iDR5_3_Main,0.0062,0.0024,0.0015,0.0033666668
HYDRA_0087,HYDRA-0087,HYDRA_0087,HYDRA_0087,Calibration_iDR5_3_Main,0.0055,0.0024,0.0013,0.0030666664
HYDRA_0088,HYDRA-0088,HYDRA_0088,HYDRA_0088,Calibration_iDR5_3_Main,0.0061,0.0032,0.0014,0.0035666667
HYDRA_0089,HYDRA-0089,HYDRA_0089,HYDRA_0089,Calibration_iDR5_3_Main,0.0051,0.0022,0.001,0.0027666667
HYDRA_0091,HYDRA-0091,HYDRA_0091,HYDRA_0091,Calibration_iDR5_3_Main,0.0055,0.0028,0.0014,0.0032333334
HYDRA_0092,HYDRA-0092,HYDRA_0092,HYDRA_0092,Calibration_iDR5_3_Main,0.0043,0.0033,0.0016,0.0030666667
HYDRA-0093,HYDRA-0093,HYDRA_0093,HYDRA-0093,Calibration_iDR5_3_Main,0.0038,0.0035,0.002,0.0031
HYDRA_0094,HYDRA-0094,HYDRA_0094,HYDRA_0094,Calibration_iDR5_3_Main,0.0043,0.0039,0.002,0.0034
HYDRA-0095,HYDRA-0095,HYDRA_0095,HYDRA-0095,Calibration_iDR5_3_Main,0.0088,0.0023,-0.0,0.0037
HYDRA-0096,HYDRA-0096,HYDRA_0096,HYDRA-0096,Calibration_iDR5_3_Main,0.0121,0.008,0.0069,0.009000001
HYDRA_0097,HYDRA-0097,HYDRA_0097,HYDRA_0097,Calibration_iDR5_3_Main,0.0059,0.0027,0.0015,0.0033666668
HYDRA_0098,HYDRA-0098,HYDRA_0098,HYDRA_0098,Calibration_iDR5_3_Main,0.0041,0.0034,0.0019,0.0031333335
HYDRA_0099,HYDRA-0099,HYDRA_0099,HYDRA_0099,Calibration_iDR5_3_Main,0.0058,0.0024,-3.0E-4,0.0026333332
HYDRA_0100,HYDRA-0100,HYDRA_0100,HYDRA_0100,Calibration_iDR5_3_Main,0.0048,0.0034,0.0015,0.0032333334
HYDRA_0101,HYDRA-0101,HYDRA_0101,HYDRA_0101,Calibration_iDR5_3_Main,0.005,0.0041,0.0025,0.0038666662
HYDRA-0102,HYDRA-0102,HYDRA_0102,HYDRA-0102,Calibration_iDR5_3_Main,0.0057,0.0045,0.0025,0.004233333
HYDRA-0103,HYDRA-0103,HYDRA_0103,HYDRA-0103,Calibration_iDR5_3_Main,0.0068,0.0025,0.0012,0.0034999999
HYDRA-0104,HYDRA-0104,HYDRA_0104,HYDRA-0104,Calibration_iDR5_3_Main,0.0115,0.0078,0.0073,0.008866667
HYDRA_0105,HYDRA-0105,HYDRA_0105,HYDRA_0105,Calibration_iDR5_3_Main,0.0051,0.0025,0.0024,0.0033333332
HYDRA_0106,HYDRA-0106,HYDRA_0106,HYDRA_0106,Calibration_iDR5_3_Main,0.0041,0.0019,2.0E-4,0.0020666667
HYDRA_0107,HYDRA-0107,HYDRA_0107,HYDRA_0107,Calibration_iDR5_3_Main,0.0062,0.0027,-1.0E-4,0.0029333334
HYDRA_0108,HYDRA-0108,HYDRA_0108,HYDRA_0108,Calibration_iDR5_3_Main,0.0044,0.0024,0.0012,0.0026666669
HYDRA_0109,HYDRA-0109,HYDRA_0109,HYDRA_0109,Calibration_iDR5_3_Main,0.0042,0.0027,0.0016,0.002833333
HYDRA_0110,HYDRA-0110,HYDRA_0110,HYDRA_0110,Calibration_iDR5_3_Main,0.0049,0.004,0.0027,0.0038666667
HYDRA-0111,HYDRA-0111,HYDRA_0111,HYDRA-0111,Calibration_iDR5_3_Main,0.0067,0.0043,0.0016,0.0042
HYDRA-0112,HYDRA-0112,HYDRA_0112,HYDRA-0112,Calibration_iDR5_3_Main,0.0072,0.0023,8.0E-4,0.003433333
HYDRA_0113,HYDRA-0113,HYDRA_0113,HYDRA_0113,Calibration_iDR5_3_Main,0.0058,0.0018,4.0E-4,0.0026666669
HYDRA_0114,HYDRA-0114,HYDRA_0114,HYDRA_0114,Calibration_iDR5_3_Main,0.0079,0.0032,0.0013,0.004133333
HYDRA_0115,HYDRA-0115,HYDRA_0115,HYDRA_0115,Calibration_iDR5_3_Main,0.0065,0.0015,3.0E-4,0.002766667
HYDRA_0116,HYDRA-0116,HYDRA_0116,HYDRA_0116,Calibration_iDR5_3_Main,0.0046,0.0013,4.0E-4,0.0021
HYDRA_0117,HYDRA-0117,HYDRA_0117,HYDRA_0117,Calibration_iDR5_3_Main,0.0035,0.0019,0.0013,0.0022333334
HYDRA_0118,HYDRA-0118,HYDRA_0118,HYDRA_0118,Calibration_iDR5_3_Main,0.0041,0.0021,0.0011,0.0024333333
HYDRA_0119,HYDRA-0119,HYDRA_0119,HYDRA_0119,Calibration_iDR5_3_Main,0.0063,0.0032,6.0E-4,0.0033666666
HYDRA-0120,HYDRA-0120,HYDRA_0120,HYDRA-0120,Calibration_iDR5_3_Main,0.0089,0.0061,0.0034,0.0061333333
HYDRA-0121,HYDRA-0121,HYDRA_0121,HYDRA-0121,Calibration_iDR5_3_Main,0.0102,0.0031,-6.0E-4,0.0042333337
HYDRA_0122,HYDRA-0122,HYDRA_0122,HYDRA_0122,Calibration_iDR5_3_Main,0.0098,0.0024,-0.001,0.0037333332
HYDRA_0123,HYDRA-0123,HYDRA_0123,HYDRA_0123,Calibration_iDR5_3_Main,0.0094,0.0032,5.0E-4,0.0043666665
HYDRA_0124,HYDRA-0124,HYDRA_0124,HYDRA_0124,Calibration_iDR5_3_Main,0.0087,0.0029,4.0E-4,0.004
HYDRA_0125,HYDRA-0125,HYDRA_0125,HYDRA_0125,Calibration_iDR5_3_Main,0.0058,0.0015,2.0E-4,0.0025
HYDRA_0126,HYDRA-0126,HYDRA_0126,HYDRA_0126,Calibration_iDR5_3_Main,0.0057,0.0025,0.001,0.0030666667
HYDRA_0127,HYDRA-0127,HYDRA_0127,HYDRA_0127,Calibration_iDR5_3_Main,0.0053,0.0024,0.001,0.0029
HYDRA_0128,HYDRA-0128,HYDRA_0128,HYDRA_0128,Calibration_iDR5_3_Main,0.0063,0.0038,0.0013,0.0037999998
HYDRA-0129,HYDRA-0129,HYDRA_0129,HYDRA-0129,Calibration_iDR5_3_Main,0.0115,0.0035,-1.0E-4,0.004966667
HYDRA_0130,HYDRA-0130,HYDRA_0130,HYDRA_0130,Calibration_iDR5_3_Main,0.0105,0.0036,-0.0,0.0047
HYDRA_0131,HYDRA-0131,HYDRA_0131,HYDRA_0131,Calibration_iDR5_3_Main,0.0083,0.0027,4.0E-4,0.0038
HYDRA_0132,HYDRA-0132,HYDRA_0132,HYDRA_0132,Calibration_iDR5_3_Main,0.0068,0.002,-2.0E-4,0.0028666668
HYDRA_0133,HYDRA-0133,HYDRA_0133,HYDRA_0133,Calibration_iDR5_3_Main,0.0066,0.0018,4.0E-4,0.0029333334
HYDRA_0134,HYDRA-0134,HYDRA_0134,HYDRA_0134,Calibration_iDR5_3_Main,0.0066,0.0018,-3.0E-4,0.0026999998
