iDR5_Field_Name,Field,NAME,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
SPLUS-s45s31,SPLUS-s45s31,SPLUS-s45s31,Calibration_iDR5_3_Main,20.8179,20.1875,20.1994,21.096,21.2367,23.5592,21.5082,23.6132,21.0938,23.3482,21.6401,22.7519
SPLUS-s45s41,SPLUS-s45s41,SPLUS-s45s41,Calibration_iDR5_3_Main,19.7888,19.1734,19.1611,20.0273,20.134,22.5093,20.4692,22.6746,20.1755,22.4819,20.7577,21.9244
SPLUS-s46s01,SPLUS-s46s01,SPLUS-s46s01,Calibration_iDR5_3_Main,19.7753,19.1682,19.1656,20.0269,20.1344,22.5064,20.4699,22.674,20.1758,22.4808,20.7609,21.9219
SPLUS-s46s02,SPLUS-s46s02,SPLUS-s46s02,Calibration_iDR5_3_Main,20.7613,20.1385,20.1459,21.0284,21.1536,23.4897,21.4484,23.5761,21.0648,23.3431,21.6287,22.7669
SPLUS-s46s16,SPLUS-s46s16,SPLUS-s46s16,Calibration_iDR5_3_Main,19.5228,18.8999,18.8969,19.7512,19.8589,22.2453,20.213,22.4737,19.9866,22.2771,20.6278,21.6466
SPLUS-s46s17,SPLUS-s46s17,SPLUS-s46s17,Calibration_iDR5_3_Main,19.6277,18.992,18.995,19.8551,19.9833,22.3712,20.3407,22.5727,20.0729,22.4037,20.703,21.8424
SPLUS-s46s18,SPLUS-s46s18,SPLUS-s46s18,Calibration_iDR5_3_Main,19.5708,18.953,18.9392,19.7983,19.901,22.2945,20.2693,22.5233,20.0338,22.354,20.6721,21.7765
SPLUS-s46s19,SPLUS-s46s19,SPLUS-s46s19,Calibration_iDR5_3_Main,19.6316,19.0018,18.9514,19.8375,19.9542,22.3384,20.2983,22.5134,20.0577,22.3681,20.6826,21.7941
SPLUS-s46s20,SPLUS-s46s20,SPLUS-s46s20,Calibration_iDR5_3_Main,19.6252,19.0043,18.9818,19.8184,19.8979,22.2699,20.2436,22.5357,20.0425,22.3804,20.6895,21.806
SPLUS-s46s21,SPLUS-s46s21,SPLUS-s46s21,Calibration_iDR5_3_Main,19.5811,18.9719,18.9473,19.802,19.8784,22.2534,20.2242,22.5189,20.0434,22.3646,20.6973,21.7825
SPLUS-s46s22,SPLUS-s46s22,SPLUS-s46s22,Calibration_iDR5_3_Main,19.7629,19.1321,19.1286,19.9824,20.088,22.4589,20.4188,22.6335,20.1325,22.4508,20.738,21.8958
SPLUS-s46s23,SPLUS-s46s23,SPLUS-s46s23,Calibration_iDR5_3_Main,19.7629,19.1421,19.1293,19.9812,20.0873,22.46,20.4203,22.6336,20.132,22.4475,20.7354,21.8805
SPLUS-s46s24,SPLUS-s46s24,SPLUS-s46s24,Calibration_iDR5_3_Main,19.7204,19.0967,19.0744,19.9187,20.0147,22.3899,20.3474,22.5932,20.099,22.4107,20.7194,21.8164
SPLUS-s46s25,SPLUS-s46s25,SPLUS-s46s25,Calibration_iDR5_3_Main,19.7269,19.1108,19.0952,19.9504,20.046,22.4166,20.3789,22.6033,20.1069,22.4098,20.7188,21.813
SPLUS-s46s26,SPLUS-s46s26,SPLUS-s46s26,Calibration_iDR5_3_Main,19.7139,19.0983,19.0859,19.9436,20.0585,22.4278,20.3983,22.6043,20.109,22.4149,20.7107,21.8359
SPLUS-s46s27,SPLUS-s46s27,SPLUS-s46s27,Calibration_iDR5_3_Main,19.7227,19.1003,19.0815,19.9454,20.0537,22.4298,20.3938,22.6008,20.1027,22.3964,20.7038,21.7939
SPLUS-s46s28,SPLUS-s46s28,SPLUS-s46s28,Calibration_iDR5_3_Main,19.7274,19.1059,19.0879,19.9515,20.061,22.4392,20.4035,22.6122,20.1158,22.4197,20.7254,21.8372
SPLUS-s46s29,SPLUS-s46s29,SPLUS-s46s29,Calibration_iDR5_3_Main,19.7507,19.1328,19.108,19.9808,20.094,22.4701,20.4336,22.6361,20.1327,22.4457,20.733,21.8737
SPLUS-s46s32,SPLUS-s46s32,SPLUS-s46s32,Calibration_iDR5_3_Main,20.7696,20.1526,20.1937,21.0922,21.2348,23.5569,21.5021,23.6152,21.0934,23.355,21.6401,22.7629
SPLUS-s46s40,SPLUS-s46s40,SPLUS-s46s40,Calibration_iDR5_3_Main,19.7387,19.1303,19.1239,19.9886,20.0945,22.4732,20.4335,22.6414,20.147,22.4547,20.7432,21.8941
STRIPE82_0001,STRIPE82-0001,STRIPE82_0001,Calibration_iDR5_3_Main,20.8241,20.187,20.2541,21.1602,21.3188,23.5953,21.5339,23.6335,21.1177,23.3931,21.6763,22.8294
