iDR5_Field_Name,Field,NAME,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
STRIPE82_0076,STRIPE82-0076,STRIPE82_0076,single,-0.39083,-0.29392,-0.46581,-0.456,-0.40998,-0.35729,-0.36597,-0.30287,-0.27063,-0.29066,-0.21715,-0.28651
STRIPE82-0077,STRIPE82-0077,STRIPE82_0077,single,-0.43678,-0.43514,-0.47201,-0.50753,-0.46219,-0.36206,-0.52051,-0.32329,-0.38249,-0.28519,-0.31522,-0.29443
STRIPE82-0078,STRIPE82-0078,STRIPE82_0078,single,-0.37627,-0.30301,-0.32807,-0.33598,-0.30947,-0.25027,-0.30753,-0.23613,-0.28705,-0.20754,-0.23605,-0.22501
STRIPE82-0079,STRIPE82-0079,STRIPE82_0079,single,-0.4067,-0.45757,-0.44065,-0.49641,-0.48095,-0.26518,-0.43118,-0.23371,-0.33605,-0.20382,-0.27342,-0.22667
STRIPE82-0080,STRIPE82-0080,STRIPE82_0080,single,-0.47628,-0.64248,-0.5235,-0.48662,-0.4427,-0.36261,-0.46988,-0.32579,-0.4034,-0.24355,-0.41136,-0.24255
STRIPE82-0081,STRIPE82-0081,STRIPE82_0081,single,-0.40627,-0.34492,-0.3297,-0.32184,-0.31966,-0.3139,-0.30979,-0.27252,-0.72657,-0.2346,-0.51377,-0.24803
STRIPE82-0082,STRIPE82-0082,STRIPE82_0082,single,-0.32233,-0.29818,-0.34515,-0.32004,-0.30844,-0.26273,-0.25866,-0.24341,-0.22517,-0.22078,-0.21867,-0.25042
STRIPE82-0083,STRIPE82-0083,STRIPE82_0083,single,-0.56274,-0.33811,-0.30966,-0.2984,-0.27278,-0.63769,-0.23915,-0.51913,-0.21956,-0.28861,-0.20004,-0.36764
STRIPE82_0084,STRIPE82-0084,STRIPE82_0084,single,-0.38281,-0.15243,-0.54241,-0.44156,-0.413,-0.42005,-0.38535,-0.34573,-0.42364,-0.33673,-0.35845,-0.38839
STRIPE82-0085,STRIPE82-0085,STRIPE82_0085,single,-0.46716,-0.3443,-0.32505,-0.3047,-0.29817,-0.31692,-0.25241,-0.27267,-0.23727,-0.25853,-0.23735,-0.25767
